Date	USD	RUB
31.12.2017	332.33	5.77
30.12.2017	332.33	5.77
29.12.2017	331.31	5.76
28.12.2017	331.38	5.74
27.12.2017	332.36	5.76
26.12.2017	333.32	5.74
25.12.2017	332.68	5.7
24.12.2017	332.68	5.7
23.12.2017	332.68	5.7
22.12.2017	334.13	5.71
21.12.2017	335.68	5.72
20.12.2017	335.33	5.7
19.12.2017	335.33	5.7
18.12.2017	335.33	5.7
17.12.2017	335.33	5.7
16.12.2017	335.33	5.7
15.12.2017	334.92	5.71
14.12.2017	335.38	5.67
13.12.2017	334.85	5.69
12.12.2017	335.05	5.66
11.12.2017	334.32	5.63
10.12.2017	334.32	5.63
09.12.2017	334.32	5.63
08.12.2017	334.85	5.66
07.12.2017	333.43	5.65
06.12.2017	332.99	5.68
05.12.2017	332.75	5.65
04.12.2017	331.22	5.65
03.12.2017	331.22	5.65
02.12.2017	331.22	5.65
01.12.2017	331.22	5.65
30.11.2017	331.61	5.69
29.11.2017	331.5	5.68
28.11.2017	330.65	5.68
27.11.2017	330.39	5.65
26.11.2017	330.39	5.65
25.11.2017	330.39	5.65
24.11.2017	330	5.65
23.11.2017	330.22	5.6
22.11.2017	330.29	5.56
21.11.2017	331	5.59
20.11.2017	332.21	5.57
19.11.2017	332.21	5.57
18.11.2017	332.21	5.57
17.11.2017	332.38	5.55
16.11.2017	332.72	5.52
15.11.2017	332.86	5.59
14.11.2017	332.74	5.6
13.11.2017	332.57	5.61
12.11.2017	332.57	5.61
11.11.2017	332.57	5.61
10.11.2017	332.99	5.61
09.11.2017	333.76	5.63
08.11.2017	332.9	5.67
07.11.2017	334.52	5.68
06.11.2017	334.1	5.71
05.11.2017	334.1	5.71
04.11.2017	334.1	5.71
03.11.2017	335.15	5.76
02.11.2017	335.14	5.76
01.11.2017	334.71	5.75
31.10.2017	334	5.78
30.10.2017	334.4	5.75
29.10.2017	334.4	5.75
28.10.2017	334.4	5.75
27.10.2017	333.87	5.79
26.10.2017	332.94	5.78
25.10.2017	334.94	5.83
24.10.2017	336.05	5.85
23.10.2017	335.24	5.82
22.10.2017	335.24	5.82
21.10.2017	335.24	5.82
20.10.2017	334.11	5.81
19.10.2017	333.57	5.81
18.10.2017	333.53	5.82
17.10.2017	333.03	5.82
16.10.2017	334.21	5.79
15.10.2017	334.21	5.79
14.10.2017	334.21	5.79
13.10.2017	334.25	5.79
12.10.2017	335.54	5.8
11.10.2017	337.48	5.83
10.10.2017	341.97	5.86
09.10.2017	343.66	5.95
08.10.2017	343.66	5.95
07.10.2017	343.66	5.95
06.10.2017	345	6
05.10.2017	343.61	5.95
04.10.2017	342.36	5.9
03.10.2017	341.24	5.9
02.10.2017	341.19	5.9
01.10.2017	341.19	5.9
30.09.2017	341.19	5.9
29.09.2017	340.43	5.85
28.09.2017	339.91	5.84
27.09.2017	339.68	5.9
26.09.2017	341.27	5.96
25.09.2017	340.11	5.91
24.09.2017	340.11	5.91
23.09.2017	340.11	5.91
22.09.2017	340.35	5.87
21.09.2017	341.61	5.9
20.09.2017	340.95	5.87
19.09.2017	340.02	5.9
18.09.2017	338.9	5.89
17.09.2017	338.9	5.89
16.09.2017	338.9	5.89
15.09.2017	338.08	5.87
14.09.2017	340	5.88
13.09.2017	338.67	5.89
12.09.2017	336.49	5.89
11.09.2017	334.29	5.86
10.09.2017	334.29	5.86
09.09.2017	334.29	5.86
08.09.2017	336.66	5.9
07.09.2017	341.22	5.94
06.09.2017	340.58	5.89
05.09.2017	338.22	5.84
04.09.2017	337.04	5.77
03.09.2017	337.04	5.77
02.09.2017	337.04	5.77
01.09.2017	337.04	5.77
31.08.2017	334.7	5.69
30.08.2017	334.7	5.69
29.08.2017	333.44	5.71
28.08.2017	332.85	5.63
27.08.2017	332.85	5.63
26.08.2017	332.85	5.63
25.08.2017	331.22	5.6
24.08.2017	333.32	5.64
23.08.2017	333.08	5.64
22.08.2017	332.58	5.63
21.08.2017	332.8	5.6
20.08.2017	332.8	5.6
19.08.2017	332.8	5.6
18.08.2017	332.68	5.6
17.08.2017	332.7	5.59
16.08.2017	332.91	5.55
15.08.2017	332.42	5.56
14.08.2017	333.17	5.54
13.08.2017	333.17	5.54
12.08.2017	333.17	5.54
11.08.2017	332.69	5.56
10.08.2017	332.39	5.54
09.08.2017	332.19	5.54
08.08.2017	331.67	5.51
07.08.2017	333.36	5.52
06.08.2017	333.36	5.52
05.08.2017	333.36	5.52
04.08.2017	335.71	5.55
03.08.2017	335.21	5.53
02.08.2017	330.07	5.5
01.08.2017	328.07	5.47
31.07.2017	326.74	5.5
30.07.2017	326.74	5.5
29.07.2017	326.74	5.5
28.07.2017	325.58	5.49
27.07.2017	326.66	5.45
26.07.2017	326.97	5.45
25.07.2017	326.7	5.45
24.07.2017	324.98	5.53
23.07.2017	324.98	5.53
22.07.2017	324.98	5.53
21.07.2017	325.56	5.51
20.07.2017	326.02	5.52
19.07.2017	325.91	5.51
18.07.2017	325.62	5.5
17.07.2017	326.72	5.48
16.07.2017	326.72	5.48
15.07.2017	326.72	5.48
14.07.2017	327.56	5.47
13.07.2017	328.52	5.41
12.07.2017	327.2	5.38
11.07.2017	326.44	5.4
10.07.2017	323.94	5.4
09.07.2017	323.94	5.4
08.07.2017	323.94	5.4
07.07.2017	323.94	5.4
06.07.2017	323.94	5.4
05.07.2017	322.37	5.44
04.07.2017	320.44	5.41
03.07.2017	320	5.43
02.07.2017	320	5.43
01.07.2017	322.27	5.44
